,listing_type,listing_title,Host Level,bed_type,availability,price,rating,number_of_ratings,Link
1,Condo in Mombasa,"Stylish 2-Bedroom apt. All Ensuite with pool, Lift",Superhost,2 beds,Aug 18 – 25,$52,4.8,5,www.airbnb.com/rooms/613404406511746670?adults=1&children=0&infants=0&check_in=2022-08-18&check_out=2022-08-25&previous_page_section_name=1000
2,Private room in Mombasa,SeaOne Nyali Mombasa Studio Private room w/ pool,Superhost,1 queen bed,Nov 1 – 8,$27,4.73,11,www.airbnb.com/rooms/54244452?adults=1&children=0&infants=0&check_in=2022-11-01&check_out=2022-11-08&previous_page_section_name=1000
3,Apartment in Mombasa,Stylish studio in Bamburi,Superhost,1 bed,Jan 17 – 24,$17,4.77,22,www.airbnb.com/rooms/51220039?adults=1&children=0&infants=0&check_in=2023-01-17&check_out=2023-01-24&previous_page_section_name=1000
4,Cottage in Tiwi,Luxury Honeymoon Cottage/Tent Tiwi Beach Kenya....,Superhost,2 beds,Nov 17 – 24,$164,4.93,139,www.airbnb.com/rooms/10556825?adults=1&children=0&infants=0&check_in=2022-11-17&check_out=2022-11-24&previous_page_section_name=1000
5,Condo in Mombasa,Cozy studio with a free parking on premises,Starter / Mid,1 bed,Aug 16 – 23,$25,5.0,3,www.airbnb.com/rooms/649244496391409388?adults=1&children=0&infants=0&check_in=2022-08-16&check_out=2022-08-23&previous_page_section_name=1000
6,Apartment in Mombasa,Stylish One bedroom Apartment,Starter / Mid,1 bed,Sep 20 – 27,$33,4.57,21,www.airbnb.com/rooms/52791569?adults=1&children=0&infants=0&check_in=2022-09-20&check_out=2022-09-27&previous_page_section_name=1000
7,Condo in Mombasa,"Coral Studio, Clean, pool, WiFi, lift and Netflix",Superhost,1 bed,Aug 15 – 22,$30,4.81,21,www.airbnb.com/rooms/583648592504940285?adults=1&children=0&infants=0&check_in=2022-08-15&check_out=2022-08-22&previous_page_section_name=1000
8,Apartment in Mtwapa,"Modern, Cozy Studio Wi-Fi|Netflix◇with Hot shower",Superhost,1 queen bed,Mar 24 – 31,$21,4.97,36,www.airbnb.com/rooms/46421735?adults=1&children=0&infants=0&check_in=2023-03-24&check_out=2023-03-31&previous_page_section_name=1000
9,Apartment in Mombasa,"STYLISH, CLEAN  1BR, WIFI,NETFLIX, HOT WATER NYALI",Starter / Mid,1 king bed,Oct 23 – 30,$28,4.64,28,www.airbnb.com/rooms/49939712?adults=1&children=0&infants=0&check_in=2022-10-23&check_out=2022-10-30&previous_page_section_name=1000
10,Condo in Mombasa ,"Clean, Co️mfy, Designer Studio, WiFi Netflix 50”TV",Superhost,1 queen bed,Sep 11 – 18,$32,4.84,116,www.airbnb.com/rooms/41245448?adults=1&children=0&infants=0&check_in=2022-09-11&check_out=2022-09-18&previous_page_section_name=1000
11,Apartment in Mombasa,"The Teal House, Mombasa || 1 Br || 43' Smart Tv",Superhost,1 bed,Sep 30 – Oct 7,$28,5.0,4,www.airbnb.com/rooms/630206329943518985?adults=1&children=0&infants=0&check_in=2022-09-30&check_out=2022-10-07&previous_page_section_name=1000
12,Vacation home in Mombasa,Lovely Studio Apartment with a Pool,Starter / Mid,1 double bed,Jan 19 – 26,$16,4.7,23,www.airbnb.com/rooms/53866957?adults=1&children=0&infants=0&check_in=2023-01-19&check_out=2023-01-26&previous_page_section_name=1000
13,Private room in Mombasa,"Romantic 4 poster bed, sea view, own living room",Superhost,2 beds,Aug 17 – 24,$28,4.84,119,www.airbnb.com/rooms/11593645?adults=1&children=0&infants=0&check_in=2022-08-17&check_out=2022-08-24&previous_page_section_name=1000
14,Condo in Mombasa,2 bedroom apartment Nyali turquoise with wifi,Starter / Mid,3 beds,Aug 8 – 15,$67,4.37,35,www.airbnb.com/rooms/38184787?adults=1&children=0&infants=0&check_in=2022-08-08&check_out=2022-08-15&previous_page_section_name=1000
15,Apartment in Mombasa,"Benice bloom, cossy and classy apartment",Starter / Mid,1 bed,Apr 21 – 28,$23,4.5,6,www.airbnb.com/rooms/562910447834619908?adults=1&children=0&infants=0&check_in=2023-04-21&check_out=2023-04-28&previous_page_section_name=1000
16,Apartment in Mombasa,Royal 2 Bedroom Sea View Apartment in Nyali,Starter / Mid,2 beds,Sep 11 – 18,$65,4.79,39,www.airbnb.com/rooms/45523966?adults=1&children=0&infants=0&check_in=2022-09-11&check_out=2022-09-18&previous_page_section_name=1000
17,Apartment in Mombasa,Shirley’s Deluxe Apart. with Pool & Beach Access,Superhost,1 bed,Oct 17 – 24,$32,4.94,31,www.airbnb.com/rooms/50948447?adults=1&children=0&infants=0&check_in=2022-10-17&check_out=2022-10-24&previous_page_section_name=1000
18,Apartment in Mombasa,"Sweet Haven, 1BR, Clean, Stylish, Wifi, Netflix",Superhost,1 double bed,Nov 24 – Dec 1,$32,4.8,46,www.airbnb.com/rooms/47155450?adults=1&children=0&infants=0&check_in=2022-11-24&check_out=2022-12-01&previous_page_section_name=1000
19,Apartment in Mombasa,SERENE STUDIO. (King Size Bed).,Starter / Mid,1 king bed,Apr 3 – 10,$18,4.5,10,www.airbnb.com/rooms/556855670956145729?adults=1&children=0&infants=0&check_in=2023-04-03&check_out=2023-04-10&previous_page_section_name=1000
20,Condo in Mombasa,MICASA 2 BEDROOM NYALI WITH WIFI/POOL/JACUZZI/LIFT,Starter / Mid,2 beds,Sep 7 – 14,$62,4.6,5,www.airbnb.com/rooms/53354619?adults=1&children=0&infants=0&check_in=2022-09-07&check_out=2022-09-14&previous_page_section_name=1000
21,Loft in Mombasa,Cosy Loft With Rooftop Swimming Pool -Nyali Road,Starter / Mid,2 beds,Aug 5 – 12,$17,4.52,50,www.airbnb.com/rooms/50493489?adults=1&children=0&infants=0&check_in=2022-08-05&check_out=2022-08-12&previous_page_section_name=1000
22,Cottage in Tiwi,Luxury Honeymoon Cottage/Tent Tiwi Beach Kenya....,Superhost,2 beds,Nov 17 – 24,$164,4.93,139,www.airbnb.com/rooms/10556825?adults=1&children=0&infants=0&check_in=2022-11-17&check_out=2022-11-24&previous_page_section_name=1000
23,Condo in Mombasa,"Stylish 2-Bedroom apt. All Ensuite with pool, Lift",Superhost,2 beds,Jul 27 – Aug 3,$68,4.8,5,www.airbnb.com/rooms/613404406511746670?adults=1&children=0&infants=0&check_in=2022-07-27&check_out=2022-08-03&previous_page_section_name=1000
24,Condo in Mombasa,2 bedroom apartment Nyali turquoise with wifi,Starter / Mid,3 beds,Jul 12 – 19,$67,4.37,35,www.airbnb.com/rooms/38184787?adults=1&children=0&infants=0&check_in=2022-07-12&check_out=2022-07-19&previous_page_section_name=1000
25,Private room in Mombasa,SeaOne Nyali Mombasa Studio Private room w/ pool,Superhost,1 queen bed,Aug 18 – 25,$50,4.73,11,www.airbnb.com/rooms/54244452?adults=1&children=0&infants=0&check_in=2022-08-18&check_out=2022-08-25&previous_page_section_name=1000
26,Condo in Mombasa,Cozy studio with a free parking on premises,Starter / Mid,1 bed,Dec 29 – Jan 5,$25,5.0,3,www.airbnb.com/rooms/649244496391409388?adults=1&children=0&infants=0&check_in=2022-12-29&check_out=2023-01-05&previous_page_section_name=1000
27,Apartment in Mombasa,Stylish studio in Bamburi,Superhost,1 bed,Sep 28 – Oct 5,$18,4.77,22,www.airbnb.com/rooms/51220039?adults=1&children=0&infants=0&check_in=2022-09-28&check_out=2022-10-05&previous_page_section_name=1000
28,Apartment in Mtwapa,"Modern, Cozy Studio Wi-Fi|Netflix◇with Hot shower",Superhost,1 queen bed,Oct 27 – Nov 3,$20,4.97,36,www.airbnb.com/rooms/46421735?adults=1&children=0&infants=0&check_in=2022-10-27&check_out=2022-11-03&previous_page_section_name=1000
29,Apartment in Mombasa,Stylish One bedroom Apartment,Starter / Mid,1 bed,Nov 6 – 13,$33,4.57,21,www.airbnb.com/rooms/52791569?adults=1&children=0&infants=0&check_in=2022-11-06&check_out=2022-11-13&previous_page_section_name=1000
30,Apartment in Mombasa,"STYLISH, CLEAN  1BR, WIFI,NETFLIX, HOT WATER NYALI",Starter / Mid,1 king bed,Oct 5 – 12,$27,4.64,28,www.airbnb.com/rooms/49939712?adults=1&children=0&infants=0&check_in=2022-10-05&check_out=2022-10-12&previous_page_section_name=1000
31,Condo in Mombasa,MICASA 2 BEDROOM NYALI WITH WIFI/POOL/JACUZZI/LIFT,Starter / Mid,2 beds,Nov 10 – 17,$62,4.6,5,www.airbnb.com/rooms/53354619?adults=1&children=0&infants=0&check_in=2022-11-10&check_out=2022-11-17&previous_page_section_name=1000
32,Condo in Mombasa,"Serene 2-BR Beachfront Apartment with Pool, WiFi",Superhost,3 beds,Oct 12 – 19,$57,New,0,www.airbnb.com/rooms/646948858122528113?adults=1&children=0&infants=0&check_in=2022-10-12&check_out=2022-10-19&previous_page_section_name=1000
33,Vacation home in Mombasa,Lovely Studio Apartment with a Pool,Starter / Mid,1 double bed,Feb 20 – 27,$16,4.7,23,www.airbnb.com/rooms/53866957?adults=1&children=0&infants=0&check_in=2023-02-20&check_out=2023-02-27&previous_page_section_name=1000
34,Apartment in Mombasa,"The Teal House, Mombasa || 1 Br || 43' Smart Tv",Superhost,1 bed,Aug 10 – 17,$32,5.0,4,www.airbnb.com/rooms/630206329943518985?adults=1&children=0&infants=0&check_in=2022-08-10&check_out=2022-08-17&previous_page_section_name=1000
35,Private room in Mombasa,"Romantic 4 poster bed, sea view, own living room",Superhost,2 beds,Jul 28 – Aug 4,$27,4.84,119,www.airbnb.com/rooms/11593645?adults=1&children=0&infants=0&check_in=2022-07-28&check_out=2022-08-04&previous_page_section_name=1000
36,Apartment in Mombasa,Shirley’s Deluxe Apart. with Pool & Beach Access,Superhost,1 bed,Oct 15 – 22,$32,4.94,31,www.airbnb.com/rooms/50948447?adults=1&children=0&infants=0&check_in=2022-10-15&check_out=2022-10-22&previous_page_section_name=1000
37,Apartment in Mombasa,"Benice bloom, cossy and classy apartment",Starter / Mid,1 bed,Mar 2 – 9,$23,4.5,6,www.airbnb.com/rooms/562910447834619908?adults=1&children=0&infants=0&check_in=2023-03-02&check_out=2023-03-09&previous_page_section_name=1000
38,Apartment in Mombasa,"Sweet Haven, 1BR, Clean, Stylish, Wifi, Netflix",Superhost,1 double bed,Dec 2 – 9,$32,4.8,46,www.airbnb.com/rooms/47155450?adults=1&children=0&infants=0&check_in=2022-12-02&check_out=2022-12-09&previous_page_section_name=1000
39,Condo in Mombasa ,"Clean, Co️mfy, Designer Studio, WiFi Netflix 50”TV",Superhost,1 queen bed,Oct 22 – 29,$29,4.84,116,www.airbnb.com/rooms/41245448?adults=1&children=0&infants=0&check_in=2022-10-22&check_out=2022-10-29&previous_page_section_name=1000
40,Apartment in Mombasa,"SERENE 1 BR, LIFT, WIFI, NETFLIX, HOT WATER, NYALI",Starter / Mid,1 queen bed,Aug 9 – 16,$31,4.71,31,www.airbnb.com/rooms/48006262?adults=1&children=0&infants=0&check_in=2022-08-09&check_out=2022-08-16&previous_page_section_name=1000
41,Apartment in Mombasa,Stylish studio in Bamburi,Superhost,1 bed,Apr 30 – May 7,$17,New,0,www.airbnb.com/rooms/51220039?adults=1&children=0&infants=0&check_in=2023-04-30&check_out=2023-05-07&previous_page_section_name=1000
42,Cottage in Tiwi,Luxury Honeymoon Cottage/Tent Tiwi Beach Kenya....,Superhost,2 beds,Nov 27 – Dec 4,$164,New,0,www.airbnb.com/rooms/10556825?adults=1&children=0&infants=0&check_in=2022-11-27&check_out=2022-12-04&previous_page_section_name=1000
43,Private room in Mombasa,SeaOne Nyali Mombasa Studio Private room w/ pool,Superhost,1 queen bed,Sep 10 – 17,$43,New,0,www.airbnb.com/rooms/54244452?adults=1&children=0&infants=0&check_in=2022-09-10&check_out=2022-09-17&previous_page_section_name=1000
44,Condo in Mombasa,Cozy studio with a free parking on premises,Starter / Mid,1 bed,Feb 12 – 19,$25,New,0,www.airbnb.com/rooms/649244496391409388?adults=1&children=0&infants=0&check_in=2023-02-12&check_out=2023-02-19&previous_page_section_name=1000
45,Condo in Mombasa,"Stylish 2-Bedroom apt. All Ensuite with pool, Lift",Superhost,2 beds,Sep 3 – 10,$68,New,0,www.airbnb.com/rooms/613404406511746670?adults=1&children=0&infants=0&check_in=2022-09-03&check_out=2022-09-10&previous_page_section_name=1000
46,Condo in Mombasa,2 bedroom apartment Nyali turquoise with wifi,Starter / Mid,3 beds,Aug 17 – 24,$67,New,0,www.airbnb.com/rooms/38184787?adults=1&children=0&infants=0&check_in=2022-08-17&check_out=2022-08-24&previous_page_section_name=1000
47,Apartment in Mombasa,"Sweet Haven, 1BR, Clean, Stylish, Wifi, Netflix",Superhost,1 double bed,Aug 13 – 20,$27,New,0,www.airbnb.com/rooms/47155450?adults=1&children=0&infants=0&check_in=2022-08-13&check_out=2022-08-20&previous_page_section_name=1000
48,Apartment in Mombasa,Stylish One bedroom Apartment,Starter / Mid,1 bed,Feb 9 – 16,$33,New,0,www.airbnb.com/rooms/52791569?adults=1&children=0&infants=0&check_in=2023-02-09&check_out=2023-02-16&previous_page_section_name=1000
49,Apartment in Mtwapa,"Modern, Cozy Studio Wi-Fi|Netflix◇with Hot shower",Superhost,1 queen bed,Mar 5 – 12,$21,New,0,www.airbnb.com/rooms/46421735?adults=1&children=0&infants=0&check_in=2023-03-05&check_out=2023-03-12&previous_page_section_name=1000
50,Apartment in Mombasa,Royal 2 Bedroom Sea View Apartment in Nyali,Starter / Mid,2 beds,Aug 20 – 27,$65,New,0,www.airbnb.com/rooms/45523966?adults=1&children=0&infants=0&check_in=2022-08-20&check_out=2022-08-27&previous_page_section_name=1000
51,Condo in Mombasa,Goldie’s beach studio,Starter / Mid,1 bed,Apr 6 – 13,$27,New,0,www.airbnb.com/rooms/50095906?adults=1&children=0&infants=0&check_in=2023-04-06&check_out=2023-04-13&previous_page_section_name=1000
52,Vacation home in Mombasa,Lovely Studio Apartment with a Pool,Starter / Mid,1 double bed,Dec 3 – 10,$16,New,0,www.airbnb.com/rooms/53866957?adults=1&children=0&infants=0&check_in=2022-12-03&check_out=2022-12-10&previous_page_section_name=1000
53,Condo in Mombasa,MICASA 2 BEDROOM NYALI WITH WIFI/POOL/JACUZZI/LIFT,Starter / Mid,2 beds,Sep 28 – Oct 5,$62,New,0,www.airbnb.com/rooms/53354619?adults=1&children=0&infants=0&check_in=2022-09-28&check_out=2022-10-05&previous_page_section_name=1000
54,Private room in Mombasa,"Romantic 4 poster bed, sea view, own living room",Superhost,2 beds,Aug 7 – 14,$27,New,0,www.airbnb.com/rooms/11593645?adults=1&children=0&infants=0&check_in=2022-08-07&check_out=2022-08-14&previous_page_section_name=1000
55,Condo in Mombasa,"Serene 2-BR Beachfront Apartment with Pool, WiFi",Superhost,3 beds,Jun 21 – 28,$60,New,0,www.airbnb.com/rooms/646948858122528113?adults=1&children=0&infants=0&check_in=2023-06-21&check_out=2023-06-28&previous_page_section_name=1000
56,Apartment in Mombasa,"The Teal House, Mombasa || 1 Br || 43' Smart Tv",Superhost,1 bed,Aug 24 – 31,$32,New,0,www.airbnb.com/rooms/630206329943518985?adults=1&children=0&infants=0&check_in=2022-08-24&check_out=2022-08-31&previous_page_section_name=1000
57,Apartment in Mombasa,"Benice bloom, cossy and classy apartment",Starter / Mid,1 bed,Feb 26 – Mar 5,$23,New,0,www.airbnb.com/rooms/562910447834619908?adults=1&children=0&infants=0&check_in=2023-02-26&check_out=2023-03-05&previous_page_section_name=1000
58,Apartment in Mombasa,Shirley’s Deluxe Apart. with Pool & Beach Access,Superhost,1 bed,Aug 9 – 16,$32,New,0,www.airbnb.com/rooms/50948447?adults=1&children=0&infants=0&check_in=2022-08-09&check_out=2022-08-16&previous_page_section_name=1000
59,Private room in Mombasa,single room nyali mombasa,Starter / Mid,1 single bed,Aug 21 – 28,$12,New,0,www.airbnb.com/rooms/648285686004538959?adults=1&children=0&infants=0&check_in=2022-08-21&check_out=2022-08-28&previous_page_section_name=1000
60,Condo in Mombasa,"Coral Studio, Clean, pool, WiFi, lift and Netflix",Superhost,1 bed,Nov 14 – 21,$34,New,0,www.airbnb.com/rooms/583648592504940285?adults=1&children=0&infants=0&check_in=2022-11-14&check_out=2022-11-21&previous_page_section_name=1000
61,Loft in Mombasa,Cosy Loft With Rooftop Swimming Pool -Nyali Road,Starter / Mid,2 beds,Sep 15 – 22,$18,4.52,50,www.airbnb.com/rooms/50493489?adults=1&children=0&infants=0&check_in=2022-09-15&check_out=2022-09-22&previous_page_section_name=1000
62,Cottage in Tiwi,Luxury Honeymoon Cottage/Tent Tiwi Beach Kenya....,Superhost,2 beds,Dec 2 – 9,$164,4.93,139,www.airbnb.com/rooms/10556825?adults=1&children=0&infants=0&check_in=2022-12-02&check_out=2022-12-09&previous_page_section_name=1000
63,Apartment in Mombasa,Stylish studio in Bamburi,Superhost,1 bed,Feb 27 – Mar 6,$17,4.77,22,www.airbnb.com/rooms/51220039?adults=1&children=0&infants=0&check_in=2023-02-27&check_out=2023-03-06&previous_page_section_name=1000
64,Condo in Mombasa,"Stylish 2-Bedroom apt. All Ensuite with pool, Lift",Superhost,2 beds,Sep 20 – 27,$68,4.8,5,www.airbnb.com/rooms/613404406511746670?adults=1&children=0&infants=0&check_in=2022-09-20&check_out=2022-09-27&previous_page_section_name=1000
65,Condo in Mombasa,2 bedroom apartment Nyali turquoise with wifi,Starter / Mid,3 beds,Aug 15 – 22,$67,4.37,35,www.airbnb.com/rooms/38184787?adults=1&children=0&infants=0&check_in=2022-08-15&check_out=2022-08-22&previous_page_section_name=1000
66,Condo in Mombasa,Cozy studio with a free parking on premises,Starter / Mid,1 bed,Dec 25 – Jan 1,$25,5.0,3,www.airbnb.com/rooms/649244496391409388?adults=1&children=0&infants=0&check_in=2022-12-25&check_out=2023-01-01&previous_page_section_name=1000
67,Apartment in Mombasa,"Benice bloom, cossy and classy apartment",Starter / Mid,1 bed,Aug 11 – 18,$20,4.5,6,www.airbnb.com/rooms/562910447834619908?adults=1&children=0&infants=0&check_in=2022-08-11&check_out=2022-08-18&previous_page_section_name=1000
68,Apartment in Mombasa,Stylish One bedroom Apartment,Starter / Mid,1 bed,Jun 30 – Jul 7,$33,4.57,21,www.airbnb.com/rooms/52791569?adults=1&children=0&infants=0&check_in=2023-06-30&check_out=2023-07-07&previous_page_section_name=1000
69,Apartment in Mtwapa,"Modern, Cozy Studio Wi-Fi|Netflix◇with Hot shower",Superhost,1 queen bed,Nov 28 – Dec 5,$21,4.97,36,www.airbnb.com/rooms/46421735?adults=1&children=0&infants=0&check_in=2022-11-28&check_out=2022-12-05&previous_page_section_name=1000
70,Apartment in Mombasa,Royal 2 Bedroom Sea View Apartment in Nyali,Starter / Mid,2 beds,Sep 30 – Oct 7,$65,4.79,39,www.airbnb.com/rooms/45523966?adults=1&children=0&infants=0&check_in=2022-09-30&check_out=2022-10-07&previous_page_section_name=1000
71,Private room in Mombasa,SeaOne Nyali Mombasa Studio Private room w/ pool,Superhost,1 queen bed,Jul 22 – 29,$60,4.73,11,www.airbnb.com/rooms/54244452?adults=1&children=0&infants=0&check_in=2022-07-22&check_out=2022-07-29&previous_page_section_name=1000
72,Vacation home in Mombasa,Lovely Studio Apartment with a Pool,Starter / Mid,1 double bed,Jun 14 – 21,$16,4.7,23,www.airbnb.com/rooms/53866957?adults=1&children=0&infants=0&check_in=2023-06-14&check_out=2023-06-21&previous_page_section_name=1000
73,Condo in Mombasa,MICASA 2 BEDROOM NYALI WITH WIFI/POOL/JACUZZI/LIFT,Starter / Mid,2 beds,Nov 18 – 25,$62,4.6,5,www.airbnb.com/rooms/53354619?adults=1&children=0&infants=0&check_in=2022-11-18&check_out=2022-11-25&previous_page_section_name=1000
74,Apartment in Mombasa,"Sweet Haven, 1BR, Clean, Stylish, Wifi, Netflix",Superhost,1 double bed,Oct 6 – 13,$29,4.8,46,www.airbnb.com/rooms/47155450?adults=1&children=0&infants=0&check_in=2022-10-06&check_out=2022-10-13&previous_page_section_name=1000
