,listing_type,listing_title,Host Level,bed_type,availability,price,rating,number_of_ratings,Link
75,Condo in Mombasa,"Serene 2-BR Beachfront Apartment with Pool, WiFi",Superhost,3 beds,May 15 – 22,$60,New,0,www.airbnb.com/rooms/646948858122528113?adults=1&children=0&infants=0&check_in=2023-05-15&check_out=2023-05-22&previous_page_section_name=1000
76,Apartment in Mombasa,"STYLISH, CLEAN  1BR, WIFI,NETFLIX, HOT WATER NYALI",Starter / Mid,1 king bed,Dec 10 – 17,$29,4.64,28,www.airbnb.com/rooms/49939712?adults=1&children=0&infants=0&check_in=2022-12-10&check_out=2022-12-17&previous_page_section_name=1000
77,Apartment in Mombasa,"The Teal House, Mombasa || 1 Br || 43' Smart Tv",Superhost,1 bed,Aug 9 – 16,$32,5.0,4,www.airbnb.com/rooms/630206329943518985?adults=1&children=0&infants=0&check_in=2022-08-09&check_out=2022-08-16&previous_page_section_name=1000
78,Private room in Mombasa,"Romantic 4 poster bed, sea view, own living room",Superhost,2 beds,Sep 6 – 13,$28,4.84,119,www.airbnb.com/rooms/11593645?adults=1&children=0&infants=0&check_in=2022-09-06&check_out=2022-09-13&previous_page_section_name=1000
79,Condo in Mombasa,"Coral Studio, Clean, pool, WiFi, lift and Netflix",Superhost,1 bed,Sep 1 – 8,$29,4.81,21,www.airbnb.com/rooms/583648592504940285?adults=1&children=0&infants=0&check_in=2022-09-01&check_out=2022-09-08&previous_page_section_name=1000
80,Apartment in Mombasa,Shirley’s Deluxe Apart. with Pool & Beach Access,Superhost,1 bed,Aug 23 – 30,$32,4.94,31,www.airbnb.com/rooms/50948447?adults=1&children=0&infants=0&check_in=2022-08-23&check_out=2022-08-30&previous_page_section_name=1000
81,Condo in Mombasa ,"Clean, Co️mfy, Designer Studio, WiFi Netflix 50”TV",Superhost,1 queen bed,Nov 19 – 26,$29,4.84,116,www.airbnb.com/rooms/41245448?adults=1&children=0&infants=0&check_in=2022-11-19&check_out=2022-11-26&previous_page_section_name=1000
82,Vacation home in Mombasa,Lovely Studio Apartment with a Pool,Starter / Mid,1 double bed,Jul 22 – 29,$14,4.7,23,www.airbnb.com/rooms/53866957?adults=1&children=0&infants=0&check_in=2022-07-22&check_out=2022-07-29&previous_page_section_name=1000
83,Private room in Mombasa,"Romantic 4 poster bed, sea view, own living room",Superhost,2 beds,Aug 25 – Sep 1,$27,4.84,119,www.airbnb.com/rooms/11593645?adults=1&children=0&infants=0&check_in=2022-08-25&check_out=2022-09-01&previous_page_section_name=1000
84,Apartment in Mombasa,"Sweet Haven, 1BR, Clean, Stylish, Wifi, Netflix",Superhost,1 double bed,Jul 16 – 23,$27,4.8,46,www.airbnb.com/rooms/47155450?adults=1&children=0&infants=0&check_in=2022-07-16&check_out=2022-07-23&previous_page_section_name=1000
85,Loft in Mombasa,Cosy Loft With Rooftop Swimming Pool -Nyali Road,Starter / Mid,2 beds,Oct 28 – Nov 4,$21,4.52,50,www.airbnb.com/rooms/50493489?adults=1&children=0&infants=0&check_in=2022-10-28&check_out=2022-11-04&previous_page_section_name=1000
86,Condo in Mombasa,"Coral Studio, Clean, pool, WiFi, lift and Netflix",Superhost,1 bed,Oct 14 – 21,$38,4.81,21,www.airbnb.com/rooms/583648592504940285?adults=1&children=0&infants=0&check_in=2022-10-14&check_out=2022-10-21&previous_page_section_name=1000
87,Apartment in Mombasa,SERENE STUDIO. (King Size Bed).,Starter / Mid,1 king bed,Feb 16 – 23,$18,4.5,10,www.airbnb.com/rooms/556855670956145729?adults=1&children=0&infants=0&check_in=2023-02-16&check_out=2023-02-23&previous_page_section_name=1000
88,Condo in Mombasa,"Sunshine Studio, Clean, pool, Wifi, lift, Netflix",Superhost,1 bed,Aug 11 – 18,$35,4.83,101,www.airbnb.com/rooms/45878393?adults=1&children=0&infants=0&check_in=2022-08-11&check_out=2022-08-18&previous_page_section_name=1000
89,Apartment in Mombasa,Cosy 1 bedroom rental unit in serene environment,Starter / Mid,1 bed,Oct 25 – Nov 1,$19,4.72,25,www.airbnb.com/rooms/53795704?adults=1&children=0&infants=0&check_in=2022-10-25&check_out=2022-11-01&previous_page_section_name=1000
90,Apartment in Mtwapa,"Modern, Cozy Studio Wi-Fi|Netflix◇with Hot shower",Superhost,1 queen bed,Mar 11 – 18,$21,4.97,36,www.airbnb.com/rooms/46421735?adults=1&children=0&infants=0&check_in=2023-03-11&check_out=2023-03-18&previous_page_section_name=1000
91,Private room in Mombasa,"Luxurious low bed, private ensuite, seaview!",Superhost,2 beds,Nov 10 – 17,$32,4.79,114,www.airbnb.com/rooms/18145464?adults=1&children=0&infants=0&check_in=2022-11-10&check_out=2022-11-17&previous_page_section_name=1000
92,Private room in Mombasa,Ella Cozy studio Across the beach,Starter / Mid,1 double bed,Jun 18 – 25,$23,4.58,55,www.airbnb.com/rooms/42617550?adults=1&children=0&infants=0&check_in=2023-06-18&check_out=2023-06-25&previous_page_section_name=1000
93,Apartment in Ukunda,Nakamu109 beachlife,Starter / Mid,1 queen bed,Oct 7 – 14,$22,4.57,46,www.airbnb.com/rooms/49846922?adults=1&children=0&infants=0&check_in=2022-10-07&check_out=2022-10-14&previous_page_section_name=1000
94,Private room in Mombasa,"Cute, breezy, single room, own bathroom.",Superhost,1 bed,Oct 30 – Nov 6,$18,4.91,22,www.airbnb.com/rooms/18147537?adults=1&children=0&infants=0&check_in=2022-10-30&check_out=2022-11-06&previous_page_section_name=1000
95,Apartment in Mombasa,Stylish One bedroom Apartment,Starter / Mid,1 bed,Mar 1 – 8,$33,4.57,21,www.airbnb.com/rooms/52791569?adults=1&children=0&infants=0&check_in=2023-03-01&check_out=2023-03-08&previous_page_section_name=1000
96,Condo in Mombasa,"Stylish 2-Bedroom apt. All Ensuite with pool, Lift",Superhost,2 beds,Aug 20 – 27,$52,4.8,5,www.airbnb.com/rooms/613404406511746670?adults=1&children=0&infants=0&check_in=2022-08-20&check_out=2022-08-27&previous_page_section_name=1000
97,Condo in Mombasa,"Afrodelic one bed; free parking,close to the beach",Starter / Mid,1 bed,Sep 25 – Oct 2,$22,4.5,10,www.airbnb.com/rooms/584534934370251416?adults=1&children=0&infants=0&check_in=2022-09-25&check_out=2022-10-02&previous_page_section_name=1000
98,Condo in Mombasa,"Cosy One Bedroom on Beach Road, Nyali",Superhost,1 bed,Feb 15 – 22,$25,4.78,9,www.airbnb.com/rooms/575323390872038723?adults=1&children=0&infants=0&check_in=2023-02-15&check_out=2023-02-22&previous_page_section_name=1000
99,Apartment in Mombasa,"Clean, lovely, and peaceful studio in Bamburi",Superhost,1 bed,Oct 3 – 10,$14,4.9,10,www.airbnb.com/rooms/34592643?adults=1&children=0&infants=0&check_in=2022-10-03&check_out=2022-10-10&previous_page_section_name=1000
100,Apartment in Mombasa,"The Lighthouse, Mombasa | AC | 1 Br | 43' Smart Tv",Superhost,1 bed,Sep 7 – 14,$32,4.83,18,www.airbnb.com/rooms/53367980?adults=1&children=0&infants=0&check_in=2022-09-07&check_out=2022-09-14&previous_page_section_name=1000
101,Private room in Mombasa,SeaOne Nyali Mombasa Studio Private room w/ pool,Superhost,1 queen bed,Dec 10 – 17,$24,New,0,www.airbnb.com/rooms/54244452?adults=1&children=0&infants=0&check_in=2022-12-10&check_out=2022-12-17&previous_page_section_name=1000
102,Cottage in Tiwi,Luxury Honeymoon Cottage/Tent Tiwi Beach Kenya....,Superhost,2 beds,Nov 27 – Dec 4,$164,New,0,www.airbnb.com/rooms/10556825?adults=1&children=0&infants=0&check_in=2022-11-27&check_out=2022-12-04&previous_page_section_name=1000
103,Apartment in Mombasa,Stylish studio in Bamburi,Superhost,1 bed,Jul 31 – Aug 7,$18,New,0,www.airbnb.com/rooms/51220039?adults=1&children=0&infants=0&check_in=2022-07-31&check_out=2022-08-07&previous_page_section_name=1000
104,Apartment in Mombasa,"Sweet Haven, 1BR, Clean, Stylish, Wifi, Netflix",Superhost,1 double bed,Aug 4 – 11,$26,New,0,www.airbnb.com/rooms/47155450?adults=1&children=0&infants=0&check_in=2022-08-04&check_out=2022-08-11&previous_page_section_name=1000
105,Condo in Mombasa,Cozy studio with a free parking on premises,Starter / Mid,1 bed,Apr 9 – 16,$25,New,0,www.airbnb.com/rooms/649244496391409388?adults=1&children=0&infants=0&check_in=2023-04-09&check_out=2023-04-16&previous_page_section_name=1000
106,Apartment in Mtwapa,"Modern, Cozy Studio Wi-Fi|Netflix◇with Hot shower",Superhost,1 queen bed,Oct 11 – 18,$20,New,0,www.airbnb.com/rooms/46421735?adults=1&children=0&infants=0&check_in=2022-10-11&check_out=2022-10-18&previous_page_section_name=1000
107,Apartment in Mombasa,Stylish One bedroom Apartment,Starter / Mid,1 bed,Jun 14 – 21,$33,New,0,www.airbnb.com/rooms/52791569?adults=1&children=0&infants=0&check_in=2023-06-14&check_out=2023-06-21&previous_page_section_name=1000
108,Apartment in Mombasa,"Benice bloom, cossy and classy apartment",Starter / Mid,1 bed,Aug 23 – 30,$20,New,0,www.airbnb.com/rooms/562910447834619908?adults=1&children=0&infants=0&check_in=2022-08-23&check_out=2022-08-30&previous_page_section_name=1000
109,Condo in Mombasa,Goldie’s beach studio,Starter / Mid,1 bed,Apr 23 – 30,$27,New,0,www.airbnb.com/rooms/50095906?adults=1&children=0&infants=0&check_in=2023-04-23&check_out=2023-04-30&previous_page_section_name=1000
110,Vacation home in Mombasa,Lovely Studio Apartment with a Pool,Starter / Mid,1 double bed,Dec 6 – 13,$16,New,0,www.airbnb.com/rooms/53866957?adults=1&children=0&infants=0&check_in=2022-12-06&check_out=2022-12-13&previous_page_section_name=1000
111,Condo in Mombasa,2 bedroom apartment Nyali turquoise with wifi,Starter / Mid,3 beds,Aug 6 – 13,$67,New,0,www.airbnb.com/rooms/38184787?adults=1&children=0&infants=0&check_in=2022-08-06&check_out=2022-08-13&previous_page_section_name=1000
112,Private room in Mombasa,"Romantic 4 poster bed, sea view, own living room",Superhost,2 beds,Aug 10 – 17,$27,New,0,www.airbnb.com/rooms/11593645?adults=1&children=0&infants=0&check_in=2022-08-10&check_out=2022-08-17&previous_page_section_name=1000
113,Apartment in Mombasa,Royal 2 Bedroom Sea View Apartment in Nyali,Starter / Mid,2 beds,Sep 21 – 28,$65,New,0,www.airbnb.com/rooms/45523966?adults=1&children=0&infants=0&check_in=2022-09-21&check_out=2022-09-28&previous_page_section_name=1000
114,Condo in Mombasa,"Serene 2-BR Beachfront Apartment with Pool, WiFi",Superhost,3 beds,May 22 – 29,$60,New,0,www.airbnb.com/rooms/646948858122528113?adults=1&children=0&infants=0&check_in=2023-05-22&check_out=2023-05-29&previous_page_section_name=1000
115,Condo in Mombasa,"Coral Studio, Clean, pool, WiFi, lift and Netflix",Superhost,1 bed,Nov 30 – Dec 7,$33,New,0,www.airbnb.com/rooms/583648592504940285?adults=1&children=0&infants=0&check_in=2022-11-30&check_out=2022-12-07&previous_page_section_name=1000
116,Apartment in Mombasa,"The Teal House, Mombasa || 1 Br || 43' Smart Tv",Superhost,1 bed,Aug 28 – Sep 4,$32,New,0,www.airbnb.com/rooms/630206329943518985?adults=1&children=0&infants=0&check_in=2022-08-28&check_out=2022-09-04&previous_page_section_name=1000
117,Condo in Mombasa,MICASA 2 BEDROOM NYALI WITH WIFI/POOL/JACUZZI/LIFT,Starter / Mid,2 beds,Nov 22 – 29,$62,New,0,www.airbnb.com/rooms/53354619?adults=1&children=0&infants=0&check_in=2022-11-22&check_out=2022-11-29&previous_page_section_name=1000
118,Apartment in Mombasa,Shirley’s Deluxe Apart. with Pool & Beach Access,Superhost,1 bed,Sep 28 – Oct 5,$32,New,0,www.airbnb.com/rooms/50948447?adults=1&children=0&infants=0&check_in=2022-09-28&check_out=2022-10-05&previous_page_section_name=1000
119,Private room in Mombasa,Lovely single bed units for sleep over,Starter / Mid,1 bed,Aug 13 – 20,$12,New,0,www.airbnb.com/rooms/637972931550302452?adults=1&children=0&infants=0&check_in=2022-08-13&check_out=2022-08-20&previous_page_section_name=1000
120,Condo in Mombasa,"0112086094, Spacious 1BR VOK-Nyali",Starter / Mid,1 bed,Aug 3 – 10,$29,New,0,www.airbnb.com/rooms/47592951?adults=1&children=0&infants=0&check_in=2022-08-03&check_out=2022-08-10&previous_page_section_name=1000
121,Loft in Mombasa,Cosy Loft With Rooftop Swimming Pool -Nyali Road,Starter / Mid,2 beds,Oct 21 – 28,$19,4.52,50,www.airbnb.com/rooms/50493489?adults=1&children=0&infants=0&check_in=2022-10-21&check_out=2022-10-28&previous_page_section_name=1000
122,Private room in Mombasa,SeaOne Nyali Mombasa Studio Private room w/ pool,Superhost,1 queen bed,Nov 18 – 25,$24,4.73,11,www.airbnb.com/rooms/54244452?adults=1&children=0&infants=0&check_in=2022-11-18&check_out=2022-11-25&previous_page_section_name=1000
123,Cottage in Tiwi,Luxury Honeymoon Cottage/Tent Tiwi Beach Kenya....,Superhost,2 beds,Nov 16 – 23,$164,4.93,139,www.airbnb.com/rooms/10556825?adults=1&children=0&infants=0&check_in=2022-11-16&check_out=2022-11-23&previous_page_section_name=1000
124,Apartment in Mombasa,Stylish studio in Bamburi,Superhost,1 bed,Mar 30 – Apr 6,$17,4.77,22,www.airbnb.com/rooms/51220039?adults=1&children=0&infants=0&check_in=2023-03-30&check_out=2023-04-06&previous_page_section_name=1000
125,Condo in Mombasa,Cozy studio with a free parking on premises,Starter / Mid,1 bed,Mar 9 – 16,$25,5.0,3,www.airbnb.com/rooms/649244496391409388?adults=1&children=0&infants=0&check_in=2023-03-09&check_out=2023-03-16&previous_page_section_name=1000
126,Apartment in Mtwapa,"Modern, Cozy Studio Wi-Fi|Netflix◇with Hot shower",Superhost,1 queen bed,Mar 4 – 11,$21,4.97,36,www.airbnb.com/rooms/46421735?adults=1&children=0&infants=0&check_in=2023-03-04&check_out=2023-03-11&previous_page_section_name=1000
127,Apartment in Mombasa,"Sweet Haven, 1BR, Clean, Stylish, Wifi, Netflix",Superhost,1 double bed,Jul 28 – Aug 4,$26,4.8,46,www.airbnb.com/rooms/47155450?adults=1&children=0&infants=0&check_in=2022-07-28&check_out=2022-08-04&previous_page_section_name=1000
128,Condo in Mombasa,2 bedroom apartment Nyali turquoise with wifi,Starter / Mid,3 beds,Sep 11 – 18,$62,4.37,35,www.airbnb.com/rooms/38184787?adults=1&children=0&infants=0&check_in=2022-09-11&check_out=2022-09-18&previous_page_section_name=1000
129,Apartment in Mombasa,Stylish One bedroom Apartment,Starter / Mid,1 bed,Apr 4 – 11,$33,4.57,21,www.airbnb.com/rooms/52791569?adults=1&children=0&infants=0&check_in=2023-04-04&check_out=2023-04-11&previous_page_section_name=1000
130,Apartment in Mombasa,"STYLISH, CLEAN  1BR, WIFI,NETFLIX, HOT WATER NYALI",Starter / Mid,1 king bed,Sep 28 – Oct 5,$27,4.64,28,www.airbnb.com/rooms/49939712?adults=1&children=0&infants=0&check_in=2022-09-28&check_out=2022-10-05&previous_page_section_name=1000
131,Condo in Mombasa,"Coral Studio, Clean, pool, WiFi, lift and Netflix",Superhost,1 bed,Sep 20 – 27,$30,4.81,21,www.airbnb.com/rooms/583648592504940285?adults=1&children=0&infants=0&check_in=2022-09-20&check_out=2022-09-27&previous_page_section_name=1000
132,Vacation home in Mombasa,Lovely Studio Apartment with a Pool,Starter / Mid,1 double bed,Jun 18 – 25,$16,4.7,23,www.airbnb.com/rooms/53866957?adults=1&children=0&infants=0&check_in=2023-06-18&check_out=2023-06-25&previous_page_section_name=1000
133,Private room in Mombasa,"Romantic 4 poster bed, sea view, own living room",Superhost,2 beds,Aug 2 – 9,$27,4.84,119,www.airbnb.com/rooms/11593645?adults=1&children=0&infants=0&check_in=2022-08-02&check_out=2022-08-09&previous_page_section_name=1000
134,Apartment in Mombasa,Royal 2 Bedroom Sea View Apartment in Nyali,Starter / Mid,2 beds,Sep 3 – 10,$65,4.79,39,www.airbnb.com/rooms/45523966?adults=1&children=0&infants=0&check_in=2022-09-03&check_out=2022-09-10&previous_page_section_name=1000
135,Villa in Mombasa,Villa Ninety Four- Mombasa (North Coast),Starter / Mid,6 beds,Aug 16 – 23,$33,4.78,9,www.airbnb.com/rooms/40727497?adults=1&children=0&infants=0&check_in=2022-08-16&check_out=2022-08-23&previous_page_section_name=1000
136,Condo in Mombasa ,"Clean, Co️mfy, Designer Studio, WiFi Netflix 50”TV",Superhost,1 queen bed,Nov 12 – 19,$29,4.84,116,www.airbnb.com/rooms/41245448?adults=1&children=0&infants=0&check_in=2022-11-12&check_out=2022-11-19&previous_page_section_name=1000
137,Apartment in Mombasa,"The Teal House, Mombasa || 1 Br || 43' Smart Tv",Superhost,1 bed,Jul 13 – 20,$31,5.0,4,www.airbnb.com/rooms/630206329943518985?adults=1&children=0&infants=0&check_in=2022-07-13&check_out=2022-07-20&previous_page_section_name=1000
138,Condo in Mombasa,"Serene 2-BR Beachfront Apartment with Pool, WiFi",Superhost,3 beds,Apr 1 – 8,$60,New,0,www.airbnb.com/rooms/646948858122528113?adults=1&children=0&infants=0&check_in=2023-04-01&check_out=2023-04-08&previous_page_section_name=1000
139,Apartment in Mombasa,Shirley’s Deluxe Apart. with Pool & Beach Access,Superhost,1 bed,Aug 22 – 29,$32,4.94,31,www.airbnb.com/rooms/50948447?adults=1&children=0&infants=0&check_in=2022-08-22&check_out=2022-08-29&previous_page_section_name=1000
140,Private room in Mombasa,single room nyali mombasa,Starter / Mid,1 single bed,Aug 19 – 26,$12,New,0,www.airbnb.com/rooms/648285686004538959?adults=1&children=0&infants=0&check_in=2022-08-19&check_out=2022-08-26&previous_page_section_name=1000
141,Condo in Mombasa ,"Clean, Co️mfy, Designer Studio, WiFi Netflix 50”TV",Superhost,1 queen bed,Aug 19 – 26,$27,4.84,116,www.airbnb.com/rooms/41245448?adults=1&children=0&infants=0&check_in=2022-08-19&check_out=2022-08-26&previous_page_section_name=1000
142,Condo in Mombasa,"Coral Studio, Clean, pool, WiFi, lift and Netflix",Superhost,1 bed,Jul 28 – Aug 4,$28,4.81,21,www.airbnb.com/rooms/583648592504940285?adults=1&children=0&infants=0&check_in=2022-07-28&check_out=2022-08-04&previous_page_section_name=1000
143,Vacation home in Mombasa,Lovely Studio Apartment with a Pool,Starter / Mid,1 double bed,Oct 16 – 23,$14,4.7,23,www.airbnb.com/rooms/53866957?adults=1&children=0&infants=0&check_in=2022-10-16&check_out=2022-10-23&previous_page_section_name=1000
144,Private room in Mombasa,"Romantic 4 poster bed, sea view, own living room",Superhost,2 beds,Aug 17 – 24,$28,4.84,119,www.airbnb.com/rooms/11593645?adults=1&children=0&infants=0&check_in=2022-08-17&check_out=2022-08-24&previous_page_section_name=1000
145,Apartment in Mombasa,"Sweet Haven, 1BR, Clean, Stylish, Wifi, Netflix",Superhost,1 double bed,Aug 11 – 18,$26,4.8,46,www.airbnb.com/rooms/47155450?adults=1&children=0&infants=0&check_in=2022-08-11&check_out=2022-08-18&previous_page_section_name=1000
146,Apartment in Mtwapa,"Modern, Cozy Studio Wi-Fi|Netflix◇with Hot shower",Superhost,1 queen bed,Aug 19 – 26,$20,4.97,36,www.airbnb.com/rooms/46421735?adults=1&children=0&infants=0&check_in=2022-08-19&check_out=2022-08-26&previous_page_section_name=1000
147,Condo in Mombasa,"Sunshine Studio, Clean, pool, Wifi, lift, Netflix",Superhost,1 bed,Aug 7 – 14,$39,4.83,101,www.airbnb.com/rooms/45878393?adults=1&children=0&infants=0&check_in=2022-08-07&check_out=2022-08-14&previous_page_section_name=1000
148,Apartment in Mombasa,SERENE STUDIO. (King Size Bed).,Starter / Mid,1 king bed,Dec 9 – 16,$18,4.5,10,www.airbnb.com/rooms/556855670956145729?adults=1&children=0&infants=0&check_in=2022-12-09&check_out=2022-12-16&previous_page_section_name=1000
149,Apartment in Mombasa,Cosy 1 bedroom rental unit in serene environment,Starter / Mid,1 bed,Sep 6 – 13,$19,4.72,25,www.airbnb.com/rooms/53795704?adults=1&children=0&infants=0&check_in=2022-09-06&check_out=2022-09-13&previous_page_section_name=1000
