,listing_type,listing_title,Host Level,bed_type,availability,price,rating,number_of_ratings,Link
150,Private room in Mombasa,"Luxurious low bed, private ensuite, seaview!",Superhost,2 beds,Oct 19 – 26,$26,4.79,114,www.airbnb.com/rooms/18145464?adults=1&children=0&infants=0&check_in=2022-10-19&check_out=2022-10-26&previous_page_section_name=1000
151,Private room in Mombasa,single room nyali mombasa,Starter / Mid,1 single bed,Jul 24 – 31,$12,New,0,www.airbnb.com/rooms/648285686004538959?adults=1&children=0&infants=0&check_in=2022-07-24&check_out=2022-07-31&previous_page_section_name=1000
152,Private room in Mombasa,Ella Cozy studio Across the beach,Starter / Mid,1 double bed,Jun 1 – 8,$23,4.58,55,www.airbnb.com/rooms/42617550?adults=1&children=0&infants=0&check_in=2023-06-01&check_out=2023-06-08&previous_page_section_name=1000
153,Apartment in Mombasa,Stylish One bedroom Apartment,Starter / Mid,1 bed,Sep 26 – Oct 3,$33,4.57,21,www.airbnb.com/rooms/52791569?adults=1&children=0&infants=0&check_in=2022-09-26&check_out=2022-10-03&previous_page_section_name=1000
154,Condo in Mombasa,"Afrodelic one bed; free parking,close to the beach",Starter / Mid,1 bed,Apr 5 – 12,$22,4.5,10,www.airbnb.com/rooms/584534934370251416?adults=1&children=0&infants=0&check_in=2023-04-05&check_out=2023-04-12&previous_page_section_name=1000
155,Private room in Mombasa,"Cute, breezy, single room, own bathroom.",Superhost,1 bed,Mar 3 – 10,$20,4.91,22,www.airbnb.com/rooms/18147537?adults=1&children=0&infants=0&check_in=2023-03-03&check_out=2023-03-10&previous_page_section_name=1000
156,Apartment in Ukunda,Nakamu109 beachlife,Starter / Mid,1 queen bed,Jul 30 – Aug 6,$24,4.57,46,www.airbnb.com/rooms/49846922?adults=1&children=0&infants=0&check_in=2022-07-30&check_out=2022-08-06&previous_page_section_name=1000
157,Condo in Mombasa,"Cosy One Bedroom on Beach Road, Nyali",Superhost,1 bed,Sep 19 – 26,$25,4.78,9,www.airbnb.com/rooms/575323390872038723?adults=1&children=0&infants=0&check_in=2022-09-19&check_out=2022-09-26&previous_page_section_name=1000
158,Apartment in Mombasa,"Clean, lovely, and peaceful studio in Bamburi",Superhost,1 bed,Jan 1 – 8,$14,4.9,10,www.airbnb.com/rooms/34592643?adults=1&children=0&infants=0&check_in=2023-01-01&check_out=2023-01-08&previous_page_section_name=1000
159,Apartment in Mombasa,"The Lighthouse, Mombasa | AC | 1 Br | 43' Smart Tv",Superhost,1 bed,Aug 17 – 24,$32,4.83,18,www.airbnb.com/rooms/53367980?adults=1&children=0&infants=0&check_in=2022-08-17&check_out=2022-08-24&previous_page_section_name=1000
160,Condo in Mombasa,Goldie’s beach studio,Starter / Mid,1 bed,Feb 24 – Mar 3,$27,4.13,8,www.airbnb.com/rooms/50095906?adults=1&children=0&infants=0&check_in=2023-02-24&check_out=2023-03-03&previous_page_section_name=1000
161,Condo in Mombasa,"Coral Studio, Clean, pool, WiFi, lift and Netflix",Superhost,1 bed,Jul 28 – Aug 4,$28,4.81,21,www.airbnb.com/rooms/583648592504940285?adults=1&children=0&infants=0&check_in=2022-07-28&check_out=2022-08-04&previous_page_section_name=1000
162,Condo in Mombasa,"Stylish 2-Bedroom apt. All Ensuite with pool, Lift",Superhost,2 beds,Aug 8 – 15,$68,4.8,5,www.airbnb.com/rooms/613404406511746670?adults=1&children=0&infants=0&check_in=2022-08-08&check_out=2022-08-15&previous_page_section_name=1000
163,Condo in Mombasa ,"Clean, Co️mfy, Designer Studio, WiFi Netflix 50”TV",Superhost,1 queen bed,Sep 15 – 22,$27,4.84,116,www.airbnb.com/rooms/41245448?adults=1&children=0&infants=0&check_in=2022-09-15&check_out=2022-09-22&previous_page_section_name=1000
164,Apartment in Mtwapa,"Modern, Cozy Studio Wi-Fi|Netflix◇with Hot shower",Superhost,1 queen bed,Oct 29 – Nov 5,$20,4.97,36,www.airbnb.com/rooms/46421735?adults=1&children=0&infants=0&check_in=2022-10-29&check_out=2022-11-05&previous_page_section_name=1000
165,Apartment in Mombasa,"Sweet Haven, 1BR, Clean, Stylish, Wifi, Netflix",Superhost,1 double bed,Nov 15 – 22,$32,4.8,46,www.airbnb.com/rooms/47155450?adults=1&children=0&infants=0&check_in=2022-11-15&check_out=2022-11-22&previous_page_section_name=1000
166,Condo in Mombasa,"Sunshine Studio, Clean, pool, Wifi, lift, Netflix",Superhost,1 bed,Aug 11 – 18,$35,4.83,101,www.airbnb.com/rooms/45878393?adults=1&children=0&infants=0&check_in=2022-08-11&check_out=2022-08-18&previous_page_section_name=1000
167,Apartment in Mombasa,Executive Bamburi Seafront designer studio,Starter / Mid,3 beds,Apr 1 – 8,$43,4.67,198,www.airbnb.com/rooms/14531460?adults=1&children=0&infants=0&check_in=2023-04-01&check_out=2023-04-08&previous_page_section_name=1000
168,Condo in Mombasa,2 bedroom apartment Nyali turquoise with wifi,Starter / Mid,3 beds,Sep 3 – 10,$62,4.37,35,www.airbnb.com/rooms/38184787?adults=1&children=0&infants=0&check_in=2022-09-03&check_out=2022-09-10&previous_page_section_name=1000
169,Apartment in Mombasa,Stylish studio in Bamburi,Superhost,1 bed,Jun 25 – Jul 2,$17,4.77,22,www.airbnb.com/rooms/51220039?adults=1&children=0&infants=0&check_in=2023-06-25&check_out=2023-07-02&previous_page_section_name=1000
170,Apartment in Mombasa,Shirley’s Deluxe Apart. with Pool & Beach Access,Superhost,1 bed,Sep 12 – 19,$32,4.94,31,www.airbnb.com/rooms/50948447?adults=1&children=0&infants=0&check_in=2022-09-12&check_out=2022-09-19&previous_page_section_name=1000
171,Private room in Mombasa,SeaOne Nyali Mombasa Studio Private room w/ pool,Superhost,1 queen bed,Jul 22 – 29,$60,4.73,11,www.airbnb.com/rooms/54244452?adults=1&children=0&infants=0&check_in=2022-07-22&check_out=2022-07-29&previous_page_section_name=1000
172,Apartment in Mombasa,"STYLISH, CLEAN  1BR, WIFI,NETFLIX, HOT WATER NYALI",Starter / Mid,1 king bed,Nov 30 – Dec 7,$29,4.64,28,www.airbnb.com/rooms/49939712?adults=1&children=0&infants=0&check_in=2022-11-30&check_out=2022-12-07&previous_page_section_name=1000
173,Private room in Mombasa,Executive Room w/ Sea View  ★ En-suite,Superhost,1 double bed,Nov 19 – 26,$21,4.84,50,www.airbnb.com/rooms/41949012?adults=1&children=0&infants=0&check_in=2022-11-19&check_out=2022-11-26&previous_page_section_name=1000
174,Cottage in Tiwi,Luxury Honeymoon Cottage/Tent Tiwi Beach Kenya....,Superhost,2 beds,Nov 15 – 22,$164,4.93,139,www.airbnb.com/rooms/10556825?adults=1&children=0&infants=0&check_in=2022-11-15&check_out=2022-11-22&previous_page_section_name=1000
175,Private room in Mombasa,"Romantic 4 poster bed, sea view, own living room",Superhost,2 beds,Sep 11 – 18,$27,4.84,119,www.airbnb.com/rooms/11593645?adults=1&children=0&infants=0&check_in=2022-09-11&check_out=2022-09-18&previous_page_section_name=1000
176,Villa in Mombasa,Villa Ninety Four- Mombasa (North Coast),Starter / Mid,6 beds,Aug 31 – Sep 7,$40,4.78,9,www.airbnb.com/rooms/40727497?adults=1&children=0&infants=0&check_in=2022-08-31&check_out=2022-09-07&previous_page_section_name=1000
177,Apartment in Mombasa,"SERENE 1 BR, LIFT, WIFI, NETFLIX, HOT WATER, NYALI",Starter / Mid,1 queen bed,Aug 20 – 27,$32,4.71,31,www.airbnb.com/rooms/48006262?adults=1&children=0&infants=0&check_in=2022-08-20&check_out=2022-08-27&previous_page_section_name=1000
178,Private room in Mombasa,Ella Cozy studio Across the beach,Starter / Mid,1 double bed,May 17 – 24,$23,4.58,55,www.airbnb.com/rooms/42617550?adults=1&children=0&infants=0&check_in=2023-05-17&check_out=2023-05-24&previous_page_section_name=1000
179,Loft in Mombasa,Cosy Loft With Rooftop Swimming Pool -Nyali Road,Starter / Mid,2 beds,Dec 26 – Jan 2,$34,4.52,50,www.airbnb.com/rooms/50493489?adults=1&children=0&infants=0&check_in=2022-12-26&check_out=2023-01-02&previous_page_section_name=1000
180,Vacation home in Mombasa,Lovely Studio Apartment with a Pool,Starter / Mid,1 double bed,Dec 1 – 8,$16,4.7,23,www.airbnb.com/rooms/53866957?adults=1&children=0&infants=0&check_in=2022-12-01&check_out=2022-12-08&previous_page_section_name=1000
181,Condo in Mombasa,"Coral Studio, Clean, pool, WiFi, lift and Netflix",Superhost,1 bed,Nov 25 – Dec 2,$33,4.81,21,www.airbnb.com/rooms/583648592504940285?adults=1&children=0&infants=0&check_in=2022-11-25&check_out=2022-12-02&previous_page_section_name=1000
182,Condo in Mombasa,"Stylish 2-Bedroom apt. All Ensuite with pool, Lift",Superhost,2 beds,Sep 20 – 27,$68,4.8,5,www.airbnb.com/rooms/613404406511746670?adults=1&children=0&infants=0&check_in=2022-09-20&check_out=2022-09-27&previous_page_section_name=1000
183,Private room in Mombasa,SeaOne Nyali Mombasa Studio Private room w/ pool,Superhost,1 queen bed,Dec 7 – 14,$24,4.73,11,www.airbnb.com/rooms/54244452?adults=1&children=0&infants=0&check_in=2022-12-07&check_out=2022-12-14&previous_page_section_name=1000
184,Apartment in Mombasa,"Sweet Haven, 1BR, Clean, Stylish, Wifi, Netflix",Superhost,1 double bed,Aug 16 – 23,$27,4.8,46,www.airbnb.com/rooms/47155450?adults=1&children=0&infants=0&check_in=2022-08-16&check_out=2022-08-23&previous_page_section_name=1000
185,Condo in Mombasa ,"Clean, Co️mfy, Designer Studio, WiFi Netflix 50”TV",Superhost,1 queen bed,Nov 2 – 9,$29,4.84,116,www.airbnb.com/rooms/41245448?adults=1&children=0&infants=0&check_in=2022-11-02&check_out=2022-11-09&previous_page_section_name=1000
186,Apartment in Mtwapa,"Modern, Cozy Studio Wi-Fi|Netflix◇with Hot shower",Superhost,1 queen bed,Mar 20 – 27,$21,4.97,36,www.airbnb.com/rooms/46421735?adults=1&children=0&infants=0&check_in=2023-03-20&check_out=2023-03-27&previous_page_section_name=1000
187,Condo in Mombasa,"Sunshine Studio, Clean, pool, Wifi, lift, Netflix",Superhost,1 bed,Oct 28 – Nov 4,$32,4.83,101,www.airbnb.com/rooms/45878393?adults=1&children=0&infants=0&check_in=2022-10-28&check_out=2022-11-04&previous_page_section_name=1000
188,Loft in Mombasa,Cosy Loft With Rooftop Swimming Pool -Nyali Road,Starter / Mid,2 beds,Oct 6 – 13,$19,4.52,50,www.airbnb.com/rooms/50493489?adults=1&children=0&infants=0&check_in=2022-10-06&check_out=2022-10-13&previous_page_section_name=1000
189,Apartment in Mombasa,Stylish studio in Bamburi,Superhost,1 bed,Apr 19 – 26,$17,4.77,22,www.airbnb.com/rooms/51220039?adults=1&children=0&infants=0&check_in=2023-04-19&check_out=2023-04-26&previous_page_section_name=1000
190,Apartment in Mombasa,Executive Bamburi Seafront designer studio,Starter / Mid,3 beds,Sep 7 – 14,$49,4.67,198,www.airbnb.com/rooms/14531460?adults=1&children=0&infants=0&check_in=2022-09-07&check_out=2022-09-14&previous_page_section_name=1000
191,Apartment in Mombasa,"STYLISH, CLEAN  1BR, WIFI,NETFLIX, HOT WATER NYALI",Starter / Mid,1 king bed,Nov 1 – 8,$28,4.64,28,www.airbnb.com/rooms/49939712?adults=1&children=0&infants=0&check_in=2022-11-01&check_out=2022-11-08&previous_page_section_name=1000
192,Apartment in Mombasa,Shirley’s Deluxe Apart. with Pool & Beach Access,Superhost,1 bed,Oct 26 – Nov 2,$32,4.94,31,www.airbnb.com/rooms/50948447?adults=1&children=0&infants=0&check_in=2022-10-26&check_out=2022-11-02&previous_page_section_name=1000
193,Condo in Mombasa,2 bedroom apartment Nyali turquoise with wifi,Starter / Mid,3 beds,Aug 2 – 9,$67,4.37,35,www.airbnb.com/rooms/38184787?adults=1&children=0&infants=0&check_in=2022-08-02&check_out=2022-08-09&previous_page_section_name=1000
194,Private room in Mombasa,Executive Room w/ Sea View  ★ En-suite,Superhost,1 double bed,Mar 28 – Apr 4,$21,4.84,50,www.airbnb.com/rooms/41949012?adults=1&children=0&infants=0&check_in=2023-03-28&check_out=2023-04-04&previous_page_section_name=1000
195,Cottage in Tiwi,Luxury Honeymoon Cottage/Tent Tiwi Beach Kenya....,Superhost,2 beds,Nov 15 – 22,$164,4.93,139,www.airbnb.com/rooms/10556825?adults=1&children=0&infants=0&check_in=2022-11-15&check_out=2022-11-22&previous_page_section_name=1000
196,Private room in Mombasa,"Romantic 4 poster bed, sea view, own living room",Superhost,2 beds,Sep 10 – 17,$27,4.84,119,www.airbnb.com/rooms/11593645?adults=1&children=0&infants=0&check_in=2022-09-10&check_out=2022-09-17&previous_page_section_name=1000
197,Apartment in Mombasa,Royal 2 Bedroom Sea View Apartment in Nyali,Starter / Mid,2 beds,Sep 8 – 15,$65,4.79,39,www.airbnb.com/rooms/45523966?adults=1&children=0&infants=0&check_in=2022-09-08&check_out=2022-09-15&previous_page_section_name=1000
198,Apartment in Mombasa,"SERENE 1 BR, LIFT, WIFI, NETFLIX, HOT WATER, NYALI",Starter / Mid,1 queen bed,Sep 4 – 11,$31,4.71,31,www.airbnb.com/rooms/48006262?adults=1&children=0&infants=0&check_in=2022-09-04&check_out=2022-09-11&previous_page_section_name=1000
199,Private room in Mombasa,Ella Cozy studio Across the beach,Starter / Mid,1 double bed,Jun 3 – 10,$23,4.58,55,www.airbnb.com/rooms/42617550?adults=1&children=0&infants=0&check_in=2023-06-03&check_out=2023-06-10&previous_page_section_name=1000
200,Villa in Mombasa,Villa Ninety Four- Mombasa (North Coast),Starter / Mid,6 beds,Sep 1 – 8,$41,4.78,9,www.airbnb.com/rooms/40727497?adults=1&children=0&infants=0&check_in=2022-09-01&check_out=2022-09-08&previous_page_section_name=1000
201,Condo in Mombasa ,"Clean, Co️mfy, Designer Studio, WiFi Netflix 50”TV",Superhost,1 queen bed,Aug 20 – 27,$27,4.84,116,www.airbnb.com/rooms/41245448?adults=1&children=0&infants=0&check_in=2022-08-20&check_out=2022-08-27&previous_page_section_name=1000
202,Condo in Mombasa,"Coral Studio, Clean, pool, WiFi, lift and Netflix",Superhost,1 bed,Jul 27 – Aug 3,$28,4.81,21,www.airbnb.com/rooms/583648592504940285?adults=1&children=0&infants=0&check_in=2022-07-27&check_out=2022-08-03&previous_page_section_name=1000
203,Vacation home in Mombasa,Lovely Studio Apartment with a Pool,Starter / Mid,1 double bed,Sep 20 – 27,$14,4.7,23,www.airbnb.com/rooms/53866957?adults=1&children=0&infants=0&check_in=2022-09-20&check_out=2022-09-27&previous_page_section_name=1000
204,Private room in Mombasa,"Romantic 4 poster bed, sea view, own living room",Superhost,2 beds,Aug 30 – Sep 6,$27,4.84,119,www.airbnb.com/rooms/11593645?adults=1&children=0&infants=0&check_in=2022-08-30&check_out=2022-09-06&previous_page_section_name=1000
205,Apartment in Mombasa,SERENE STUDIO. (King Size Bed).,Starter / Mid,1 king bed,Aug 31 – Sep 7,$18,4.5,10,www.airbnb.com/rooms/556855670956145729?adults=1&children=0&infants=0&check_in=2022-08-31&check_out=2022-09-07&previous_page_section_name=1000
206,Apartment in Mombasa,Cosy 1 bedroom rental unit in serene environment,Starter / Mid,1 bed,Feb 6 – 13,$19,4.72,25,www.airbnb.com/rooms/53795704?adults=1&children=0&infants=0&check_in=2023-02-06&check_out=2023-02-13&previous_page_section_name=1000
207,Apartment in Mtwapa,"Modern, Cozy Studio Wi-Fi|Netflix◇with Hot shower",Superhost,1 queen bed,Feb 3 – 10,$21,4.97,36,www.airbnb.com/rooms/46421735?adults=1&children=0&infants=0&check_in=2023-02-03&check_out=2023-02-10&previous_page_section_name=1000
208,Condo in Mombasa,"Sunshine Studio, Clean, pool, Wifi, lift, Netflix",Superhost,1 bed,Nov 3 – 10,$32,4.83,101,www.airbnb.com/rooms/45878393?adults=1&children=0&infants=0&check_in=2022-11-03&check_out=2022-11-10&previous_page_section_name=1000
209,Private room in Mombasa,"Luxurious low bed, private ensuite, seaview!",Superhost,2 beds,Nov 22 – 29,$32,4.79,114,www.airbnb.com/rooms/18145464?adults=1&children=0&infants=0&check_in=2022-11-22&check_out=2022-11-29&previous_page_section_name=1000
210,Private room in Mombasa,Ella Cozy studio Across the beach,Starter / Mid,1 double bed,Mar 19 – 26,$23,4.58,55,www.airbnb.com/rooms/42617550?adults=1&children=0&infants=0&check_in=2023-03-19&check_out=2023-03-26&previous_page_section_name=1000
211,Apartment in Mombasa,Stylish One bedroom Apartment,Starter / Mid,1 bed,Sep 23 – 30,$33,4.57,21,www.airbnb.com/rooms/52791569?adults=1&children=0&infants=0&check_in=2022-09-23&check_out=2022-09-30&previous_page_section_name=1000
212,Condo in Mombasa,"Afrodelic one bed; free parking,close to the beach",Starter / Mid,1 bed,Jul 31 – Aug 7,$22,4.5,10,www.airbnb.com/rooms/584534934370251416?adults=1&children=0&infants=0&check_in=2022-07-31&check_out=2022-08-07&previous_page_section_name=1000
213,Condo in Diani Beach,Nakamu 33 beachlife,Starter / Mid,1 king bed,Jul 21 – 28,$28,4.71,66,www.airbnb.com/rooms/47712409?adults=1&children=0&infants=0&check_in=2022-07-21&check_out=2022-07-28&previous_page_section_name=1000
214,Private room in Mombasa,"Cute, breezy, single room, own bathroom.",Superhost,1 bed,Dec 30 – Jan 6,$21,4.91,22,www.airbnb.com/rooms/18147537?adults=1&children=0&infants=0&check_in=2022-12-30&check_out=2023-01-06&previous_page_section_name=1000
215,Condo in Mombasa,Executive 1 bedroom apartment with free wifi.,Starter / Mid,1 bed,Jul 31 – Aug 7,$13,4.43,23,www.airbnb.com/rooms/52725971?adults=1&children=0&infants=0&check_in=2022-07-31&check_out=2022-08-07&previous_page_section_name=1000
216,Apartment in Mombasa,"Sweet Haven, 1BR, Clean, Stylish, Wifi, Netflix",Superhost,1 double bed,Nov 29 – Dec 6,$32,4.8,46,www.airbnb.com/rooms/47155450?adults=1&children=0&infants=0&check_in=2022-11-29&check_out=2022-12-06&previous_page_section_name=1000
217,Condo in Mombasa,"Cosy One Bedroom on Beach Road, Nyali",Superhost,1 bed,May 12 – 19,$25,4.78,9,www.airbnb.com/rooms/575323390872038723?adults=1&children=0&infants=0&check_in=2023-05-12&check_out=2023-05-19&previous_page_section_name=1000
218,Apartment in Mombasa,"STYLISH, CLEAN  1BR, WIFI,NETFLIX, HOT WATER NYALI",Starter / Mid,1 king bed,Oct 24 – 31,$28,4.64,28,www.airbnb.com/rooms/49939712?adults=1&children=0&infants=0&check_in=2022-10-24&check_out=2022-10-31&previous_page_section_name=1000
219,Apartment in Mombasa,"Clean, lovely, and peaceful studio in Bamburi",Superhost,1 bed,Apr 19 – 26,$14,4.9,10,www.airbnb.com/rooms/34592643?adults=1&children=0&infants=0&check_in=2023-04-19&check_out=2023-04-26&previous_page_section_name=1000
220,Condo in Mombasa,Goldie’s beach studio,Starter / Mid,1 bed,Jan 17 – 24,$27,4.13,8,www.airbnb.com/rooms/50095906?adults=1&children=0&infants=0&check_in=2023-01-17&check_out=2023-01-24&previous_page_section_name=1000
221,Condo in Mombasa,"Coral Studio, Clean, pool, WiFi, lift and Netflix",Superhost,1 bed,Jul 27 – Aug 3,$28,4.81,21,www.airbnb.com/rooms/583648592504940285?adults=1&children=0&infants=0&check_in=2022-07-27&check_out=2022-08-03&previous_page_section_name=1000
222,Apartment in Mombasa,"NyaliLux 4bdrm Penthouse wth ocean view,pool&gym",Starter / Mid,4 beds,Sep 6 – 13,$81,4.09,11,www.airbnb.com/rooms/37871314?adults=1&children=0&infants=0&check_in=2022-09-06&check_out=2022-09-13&previous_page_section_name=1000
223,Condo in Mombasa,"Stylish 2-Bedroom apt. All Ensuite with pool, Lift",Superhost,2 beds,Nov 27 – Dec 4,$70,4.8,5,www.airbnb.com/rooms/613404406511746670?adults=1&children=0&infants=0&check_in=2022-11-27&check_out=2022-12-04&previous_page_section_name=1000
224,Apartment in Mombasa,Stylish One bedroom Apartment,Starter / Mid,1 bed,Aug 25 – Sep 1,$33,4.57,21,www.airbnb.com/rooms/52791569?adults=1&children=0&infants=0&check_in=2022-08-25&check_out=2022-09-01&previous_page_section_name=1000
